year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,194,894,82.17
2004,1087,197,890,81.88
2005,1038,174,864,83.24
2006,1069,174,895,83.72
2007,1058,143,915,86.48
2008,1061,140,921,86.80
2009,1094,149,945,86.38
2010,1050,124,926,88.19
2011,1057,109,948,89.69
2012,1059,105,954,90.08
2013,1042,92,950,91.17
2014,1014,86,928,91.52
2015,1011,77,934,92.38
2016,1076,67,1009,93.77
2017,1043,53,990,94.92
2018,1090,49,1041,95.50
2019,1038,49,989,95.28
2020,967,27,940,97.21
